age,c_charge_degree,race,age_cat,score_text,sex,priors_count,days_b_screening_arrest,decile_score,is_recid,two_year_recid,length_of_stay
33,M,Caucasian,25 - 45,Medium,Female,4,-1,5,1,1,11
24,M,Caucasian,Less than 25,Low,Male,1,0,2,1,1,1
34,F,African-American,25 - 45,High,Male,21,0,9,1,1,33
29,M,Caucasian,25 - 45,Low,Male,0,0,2,0,0,0
21,F,African-American,Less than 25,High,Female,2,-1,8,0,0,80
51,M,African-American,Greater than 45,Low,Male,2,-1,1,0,0,1
29,M,Caucasian,25 - 45,Low,Male,2,-1,2,1,1,1
51,F,African-American,Greater than 45,Low,Female,7,-1,2,0,0,2
29,F,African-American,25 - 45,Medium,Male,0,0,7,1,1,0
25,M,Caucasian,25 - 45,High,Male,9,-1,10,1,1,7
35,F,African-American,25 - 45,High,Male,13,-1,8,1,1,1
49,M,Caucasian,Greater than 45,Low,Male,0,0,1,0,0,0
29,F,African-American,25 - 45,Low,Male,0,0,4,0,0,0
29,F,Caucasian,25 - 45,Low,Male,1,-24,2,1,1,0
28,F,Other,25 - 45,Low,Female,0,-1,2,0,0,1
31,F,African-American,25 - 45,Medium,Male,15,-1,5,1,0,136
24,F,African-American,Less than 25,Low,Male,2,-1,4,1,1,2
30,M,Hispanic,25 - 45,Medium,Male,0,0,7,0,0,23
49,M,African-American,Greater than 45,Low,Male,4,-1,1,0,0,1
53,F,Caucasian,Greater than 45,Medium,Male,8,-13,5,0,0,13
35,F,African-American,25 - 45,Low,Male,5,-1,3,0,0,1
27,F,African-American,25 - 45,High,Male,15,-1,10,1,1,1
38,M,Caucasian,25 - 45,Low,Male,4,-1,2,1,1,2
22,F,African-American,Less than 25,Low,Male,1,-1,4,1,1,1
29,F,African-American,25 - 45,High,Male,4,-1,9,1,1,19
62,M,Hispanic,Greater than 45,Low,Male,0,0,1,0,0,0
27,F,African-American,25 - 45,Medium,Male,6,0,6,1,1,30
33,M,Other,25 - 45,Low,Male,0,-1,1,0,0,1
56,M,African-American,Greater than 45,Low,Female,0,0,1,0,0,3
45,F,Hispanic,Greater than 45,Low,Male,6,-1,1,1,1,242
22,F,Hispanic,Less than 25,Low,Male,1,-1,4,0,0,1
39,M,African-American,25 - 45,Low,Male,1,-1,4,0,0,5
29,F,African-American,25 - 45,Medium,Male,5,0,6,1,1,1
27,F,Caucasian,25 - 45,Medium,Male,1,-1,6,1,1,14
40,F,African-American,25 - 45,Low,Male,2,-15,2,0,0,3
22,M,African-American,Less than 25,Low,Male,1,0,3,1,1,17
22,F,Caucasian,Less than 25,High,Male,0,-1,8,0,0,58
26,F,African-American,25 - 45,Low,Female,1,-1,4,1,1,2
32,F,African-American,25 - 45,Low,Male,0,-1,2,0,0,1
41,M,African-American,25 - 45,Low,Male,1,-1,2,0,0,2
30,M,African-American,25 - 45,High,Male,8,-1,10,1,1,1
50,F,Other,Greater than 45,Low,Male,0,-1,1,1,1,1
25,F,African-American,25 - 45,High,Male,14,-1,10,1,1,7
20,F,Other,Less than 25,Medium,Male,0,-1,5,1,1,1
22,F,African-American,Less than 25,High,Male,2,0,9,1,1,30
35,M,African-American,25 - 45,Low,Female,1,-1,2,0,0,1
36,F,African-American,25 - 45,Medium,Male,9,0,7,1,1,4
26,F,Caucasian,25 - 45,High,Male,7,0,8,1,1,0
21,F,Other,Less than 25,Medium,Male,1,0,6,1,1,4
25,F,Caucasian,25 - 45,High,Male,9,-1,8,1,1,1
20,F,Caucasian,Less than 25,Medium,Female,0,-1,7,0,0,1
39,F,Caucasian,25 - 45,Low,Male,2,-2,1,1,1,0
54,M,Caucasian,Greater than 45,Low,Female,0,0,1,0,0,0
44,M,Hispanic,25 - 45,Low,Female,0,-2,1,0,0,1
19,M,African-American,Less than 25,Low,Male,1,-10,4,1,1,9
30,F,African-American,25 - 45,Low,Male,1,-1,2,0,0,1
39,F,Caucasian,25 - 45,Low,Female,0,-1,1,1,1,2
24,F,Caucasian,Less than 25,Medium,Male,8,-1,6,1,1,12
30,F,Caucasian,25 - 45,Low,Male,0,-1,4,0,0,6
31,M,Caucasian,25 - 45,Medium,Male,0,-1,5,0,0,39
39,F,Caucasian,25 - 45,Low,Female,1,-1,4,0,0,107
43,F,Caucasian,25 - 45,Low,Male,1,-30,1,0,0,1
21,F,African-American,Less than 25,High,Male,3,-1,9,1,1,6
38,M,Caucasian,25 - 45,Low,Male,5,-1,4,1,1,3
34,F,Caucasian,25 - 45,Medium,Male,0,0,5,0,0,15
33,F,African-American,25 - 45,Medium,Male,5,0,5,1,1,0
37,F,African-American,25 - 45,Low,Male,3,0,2,0,0,1
42,F,Caucasian,25 - 45,Low,Male,1,0,2,1,1,1
41,F,African-American,25 - 45,High,Male,10,0,9,1,1,176
22,F,African-American,Less than 25,Low,Male,0,-1,4,1,1,1
33,F,African-American,25 - 45,High,Male,28,-1,8,1,1,2
31,M,African-American,25 - 45,Medium,Male,1,-1,7,0,0,1
30,F,Other,25 - 45,Low,Female,1,-1,2,0,0,1
31,F,Caucasian,25 - 45,High,Male,13,-1,10,1,1,471
27,F,African-American,25 - 45,High,Male,3,-1,9,1,1,1
52,M,Caucasian,Greater than 45,High,Male,3,-2,9,0,0,1
33,F,African-American,25 - 45,High,Male,19,-1,10,1,1,1
42,F,Caucasian,25 - 45,Low,Male,6,-4,3,0,0,0
25,F,Caucasian,25 - 45,Low,Female,2,-1,4,0,0,3
30,M,Caucasian,25 - 45,Low,Male,1,-20,2,0,0,4
37,M,Other,25 - 45,Low,Female,2,-1,2,0,0,2
28,M,Caucasian,25 - 45,Low,Male,0,-1,2,1,1,1
24,M,African-American,Less than 25,Low,Female,0,-1,2,0,0,2
29,F,Caucasian,25 - 45,Low,Female,10,-1,4,1,1,7
44,M,Caucasian,25 - 45,Low,Male,2,0,2,1,1,0
32,F,African-American,25 - 45,Medium,Male,3,-1,7,1,1,8
31,M,Caucasian,25 - 45,Low,Male,2,-16,3,1,1,15
31,M,African-American,25 - 45,Low,Male,1,-1,2,1,0,1
59,F,Caucasian,Greater than 45,Low,Male,1,-1,2,1,1,1
20,F,African-American,Less than 25,High,Female,1,0,10,0,0,3
43,M,Caucasian,25 - 45,Low,Female,0,0,1,0,0,1
38,F,African-American,25 - 45,High,Male,9,-1,8,1,1,13
32,F,African-American,25 - 45,Medium,Male,11,-2,6,1,1,1
33,M,African-American,25 - 45,Medium,Male,8,-1,5,1,1,1
31,F,African-American,25 - 45,Low,Female,0,-1,3,1,1,2
33,F,African-American,25 - 45,High,Female,7,-1,9,1,1,26
27,F,African-American,25 - 45,High,Male,2,-1,9,1,1,1
20,F,African-American,Less than 25,Medium,Female,0,0,6,0,0,0
26,M,Caucasian,25 - 45,Medium,Female,0,-2,6,0,0,1
61,F,African-American,Greater than 45,Low,Female,1,-1,1,1,1,1
52,F,Other,Greater than 45,Medium,Male,13,-1,7,1,1,2
63,F,Hispanic,Greater than 45,Low,Male,1,-26,1,0,0,15
32,F,African-American,25 - 45,High,Female,4,-7,10,1,1,7
29,F,Hispanic,25 - 45,Low,Male,1,-1,4,0,0,1
26,M,African-American,25 - 45,Low,Female,2,-1,4,1,1,1
39,M,Caucasian,25 - 45,Low,Male,1,-1,4,0,0,4
30,F,Caucasian,25 - 45,Medium,Female,3,0,7,1,1,530
30,F,African-American,25 - 45,Medium,Male,1,0,7,0,0,70
48,M,Caucasian,Greater than 45,Low,Male,2,-1,2,0,0,1
22,F,African-American,Less than 25,Low,Male,1,-1,2,0,0,1
46,F,Caucasian,Greater than 45,Low,Male,6,22,1,1,1,23
31,F,Caucasian,25 - 45,Medium,Male,0,0,5,0,0,2
25,M,African-American,25 - 45,Low,Male,1,-1,2,1,1,2
23,F,Hispanic,Less than 25,Low,Male,0,-1,3,0,0,0
32,F,African-American,25 - 45,Medium,Female,5,-1,7,0,0,1
52,M,Hispanic,Greater than 45,Low,Male,2,-1,1,0,0,3
62,F,African-American,Greater than 45,Low,Male,8,0,4,0,0,16
31,F,Hispanic,25 - 45,High,Male,8,29,9,1,1,117
28,M,African-American,25 - 45,Medium,Male,6,-1,6,1,1,1
54,F,Hispanic,Greater than 45,Low,Male,2,-1,1,0,0,188
58,F,Hispanic,Greater than 45,Low,Male,0,-1,2,0,0,1
78,M,Caucasian,Greater than 45,Low,Male,1,-1,1,1,1,1
56,F,Caucasian,Greater than 45,Low,Male,0,-1,1,0,0,1
24,F,Other,Less than 25,Low,Male,0,-1,2,0,0,2
22,F,African-American,Less than 25,Medium,Male,1,0,5,1,1,0
47,M,African-American,Greater than 45,High,Male,23,-1,8,1,1,1
23,M,African-American,Less than 25,Low,Male,0,-1,2,1,1,1
57,F,Hispanic,Greater than 45,Low,Male,1,0,1,0,0,20
66,F,African-American,Greater than 45,Low,Male,3,-10,1,1,0,2
45,M,Caucasian,Greater than 45,Low,Male,8,0,4,1,1,71
37,M,African-American,25 - 45,High,Male,2,0,9,1,1,0
39,F,Caucasian,25 - 45,Low,Male,0,0,4,1,1,1
26,F,African-American,25 - 45,High,Male,9,0,9,1,1,79
45,F,Caucasian,Greater than 45,Low,Male,2,-1,3,0,0,359
23,F,African-American,Less than 25,Low,Male,0,-1,3,1,1,1
34,M,African-American,25 - 45,Low,Male,2,0,2,1,0,26
23,M,African-American,Less than 25,Low,Female,1,-1,4,0,0,1
36,M,Other,25 - 45,Low,Male,2,-1,3,1,1,3
50,F,Caucasian,Greater than 45,Low,Male,1,-4,1,0,0,2
37,M,Caucasian,25 - 45,Low,Female,0,-1,3,0,0,0
44,M,Caucasian,25 - 45,Low,Male,4,0,4,0,0,1
35,F,African-American,25 - 45,High,Female,23,-1,9,1,1,2
24,F,Other,Less than 25,Medium,Male,5,-1,5,1,1,1
26,F,African-American,25 - 45,High,Male,2,-1,10,1,1,1
27,M,African-American,25 - 45,Low,Male,0,-1,2,0,0,3
28,F,African-American,25 - 45,High,Female,0,0,8,0,0,29
28,F,Caucasian,25 - 45,High,Female,7,-1,9,1,1,1
38,F,African-American,25 - 45,Low,Male,2,-1,1,0,0,1
28,F,African-American,25 - 45,High,Female,1,-1,9,0,0,39
56,F,Caucasian,Greater than 45,Low,Male,7,-1,1,1,1,1
38,F,African-American,25 - 45,High,Male,15,-1,9,0,0,2
28,M,African-American,25 - 45,Medium,Male,2,-1,5,0,0,1
51,M,Caucasian,Greater than 45,Low,Female,0,-1,1,1,1,1
51,M,Caucasian,Greater than 45,Low,Male,0,-1,2,0,0,1
36,M,Other,25 - 45,Low,Male,1,-1,1,1,1,1
48,F,African-American,Greater than 45,Low,Male,0,-1,1,0,0,1
37,F,Caucasian,25 - 45,Low,Male,4,0,3,1,1,2
30,F,African-American,25 - 45,Medium,Female,2,-1,7,0,0,3
41,M,African-American,25 - 45,Medium,Female,5,0,6,0,0,0
27,F,African-American,25 - 45,High,Male,11,-1,10,1,1,223
37,M,African-American,25 - 45,Low,Male,0,-1,1,1,0,2
33,F,Other,25 - 45,Low,Male,4,0,4,1,1,2
54,F,African-American,Greater than 45,High,Male,11,-1,9,0,0,130
23,F,African-American,Less than 25,High,Male,2,-1,9,0,0,72
41,M,African-American,25 - 45,Low,Male,0,0,1,0,0,1
52,F,Caucasian,Greater than 45,Low,Male,0,-1,1,0,0,1
43,F,Caucasian,25 - 45,Low,Male,13,0,4,1,1,51
52,F,African-American,Greater than 45,Low,Male,0,-1,4,0,0,14
28,F,Caucasian,25 - 45,Low,Male,1,-3,1,0,0,3
30,M,African-American,25 - 45,High,Male,11,-1,9,1,1,1
28,F,Caucasian,25 - 45,Medium,Male,1,0,5,0,0,6
22,F,African-American,Less than 25,Low,Male,0,-1,4,0,0,1
30,F,African-American,25 - 45,Low,Male,4,0,2,0,0,0
25,F,Hispanic,25 - 45,Low,Male,4,0,4,0,0,1
31,F,Caucasian,25 - 45,High,Male,0,-1,8,1,1,31
37,F,Caucasian,25 - 45,Low,Male,0,-1,2,1,1,35
32,F,African-American,25 - 45,High,Male,14,-1,9,0,0,1
53,M,Caucasian,Greater than 45,Low,Male,1,-1,1,0,0,1
28,F,African-American,25 - 45,High,Male,25,29,8,1,1,26
44,M,Caucasian,25 - 45,Medium,Male,8,-1,5,1,1,5
25,F,African-American,25 - 45,Low,Male,0,0,3,0,0,0
22,M,Caucasian,Less than 25,High,Male,1,0,8,1,1,6
37,M,Other,25 - 45,Low,Female,0,-1,1,0,0,1
40,F,Other,25 - 45,Low,Female,3,-1,2,0,0,1
31,M,Hispanic,25 - 45,Low,Female,0,-1,2,0,0,1
23,F,Hispanic,Less than 25,Medium,Male,1,-1,6,1,1,1
23,F,Caucasian,Less than 25,Medium,Female,5,-1,5,1,1,1
24,M,Hispanic,Less than 25,High,Male,0,-3,8,0,0,1
29,M,African-American,25 - 45,Low,Male,1,-1,3,0,0,1
20,F,African-American,Less than 25,High,Male,1,-1,8,1,1,1
30,F,African-American,25 - 45,Medium,Male,2,-1,6,1,1,2
39,F,Other,25 - 45,Low,Male,0,-1,1,0,0,1
27,F,African-American,25 - 45,Low,Male,4,-1,4,0,0,1
37,F,African-American,25 - 45,Low,Female,2,0,1,0,0,1
20,F,African-American,Less than 25,High,Male,0,-1,8,0,0,3
22,F,Hispanic,Less than 25,Medium,Male,0,0,7,0,0,2
52,F,African-American,Greater than 45,Low,Female,0,-1,1,0,0,1
23,F,African-American,Less than 25,Low,Female,0,-1,4,1,1,4
48,F,African-American,Greater than 45,Low,Female,0,-1,2,0,0,2
25,F,Caucasian,25 - 45,Medium,Male,0,0,5,0,0,0
27,F,Caucasian,25 - 45,Medium,Male,0,-1,6,1,1,2
30,F,African-American,25 - 45,Medium,Male,11,0,7,1,1,1
22,M,African-American,Less than 25,High,Male,3,-1,10,1,1,1
22,F,Caucasian,Less than 25,Low,Female,1,-1,3,0,0,1
41,M,African-American,25 - 45,Low,Female,2,-1,3,0,0,1
25,F,Other,25 - 45,Low,Female,0,-1,2,0,0,1
52,F,African-American,Greater than 45,Medium,Male,3,0,6,1,1,25
43,F,African-American,25 - 45,Low,Male,0,-1,1,0,0,41
37,F,Caucasian,25 - 45,Low,Male,3,-4,1,0,0,3
70,M,Caucasian,Greater than 45,Low,Male,1,-13,1,0,0,13
46,F,Caucasian,Greater than 45,Low,Male,3,-1,4,0,0,14
21,M,African-American,Less than 25,High,Male,0,-1,9,1,1,1
26,M,African-American,25 - 45,High,Male,1,-1,8,1,1,2
38,F,Hispanic,25 - 45,Low,Male,3,23,1,1,1,2
34,M,Caucasian,25 - 45,Low,Male,5,-1,4,0,0,1
34,M,African-American,25 - 45,Low,Male,5,-1,4,0,0,1
23,F,Caucasian,Less than 25,Medium,Male,0,0,5,1,1,1
34,F,African-American,25 - 45,Low,Male,5,-1,4,1,1,3
39,F,African-American,25 - 45,Low,Male,6,-1,3,1,1,3
24,F,Other,Less than 25,Low,Male,0,-1,3,0,0,1
58,F,Caucasian,Greater than 45,Low,Male,2,-1,3,0,0,2
21,M,African-American,Less than 25,Medium,Female,0,0,6,0,0,1
23,M,African-American,Less than 25,High,Male,4,-11,8,1,1,11
62,F,Caucasian,Greater than 45,Low,Male,0,0,1,0,0,2
37,F,Caucasian,25 - 45,Low,Male,5,-1,3,0,0,11
43,F,Other,25 - 45,Low,Male,2,-1,2,1,1,8
32,F,African-American,25 - 45,Low,Female,5,0,1,0,0,0
23,F,Hispanic,Less than 25,Low,Male,0,-1,3,0,0,46
27,M,African-American,25 - 45,Low,Male,0,0,1,0,0,1
44,M,Caucasian,25 - 45,Low,Male,0,-1,1,1,1,1
28,M,Caucasian,25 - 45,Low,Male,3,-1,3,1,1,1
42,F,Caucasian,25 - 45,Low,Female,0,-3,2,0,0,1
24,F,Other,Less than 25,High,Male,9,-1,10,1,1,5
27,F,African-American,25 - 45,Low,Male,0,0,2,0,0,17
20,F,African-American,Less than 25,High,Male,0,-1,10,1,1,1
51,M,Caucasian,Greater than 45,Low,Female,0,0,1,0,0,1
56,M,Caucasian,Greater than 45,Low,Male,0,0,1,0,0,1
29,F,African-American,25 - 45,High,Male,7,-1,9,0,0,1
20,F,African-American,Less than 25,High,Male,0,-1,9,1,1,210
27,F,Caucasian,25 - 45,Medium,Male,8,-1,5,0,0,68
24,F,African-American,Less than 25,High,Male,2,-1,9,1,1,19
53,F,Caucasian,Greater than 45,Medium,Male,36,-7,6,1,1,33
28,M,Caucasian,25 - 45,Low,Male,2,0,3,1,1,1
21,F,Hispanic,Less than 25,Medium,Male,3,-22,5,1,0,22
36,F,African-American,25 - 45,Medium,Female,0,-1,7,0,0,12
25,M,Caucasian,25 - 45,Low,Female,2,-2,4,1,1,1
23,M,Hispanic,Less than 25,Low,Female,1,0,3,1,0,0
28,F,Caucasian,25 - 45,Medium,Male,1,-4,5,0,0,1
21,F,African-American,Less than 25,High,Female,0,-1,8,1,1,1
36,M,Caucasian,25 - 45,Low,Male,0,-1,3,0,0,1
24,F,African-American,Less than 25,Low,Male,0,-1,3,0,0,1
30,F,Other,25 - 45,Low,Male,1,-1,2,1,1,1
29,F,African-American,25 - 45,Low,Male,0,-1,1,0,0,1
30,M,Caucasian,25 - 45,Medium,Female,0,0,6,0,0,4
51,M,Hispanic,Greater than 45,Low,Male,1,-1,1,0,0,1
32,F,African-American,25 - 45,High,Male,12,-1,9,1,1,2
23,F,African-American,Less than 25,Medium,Male,1,0,6,0,0,1
47,F,African-American,Greater than 45,Low,Male,3,0,3,0,0,0
37,F,Caucasian,25 - 45,Low,Male,0,-1,1,0,0,19
19,F,African-American,Less than 25,High,Male,2,-1,10,1,1,1
27,M,Hispanic,25 - 45,High,Male,0,-1,8,0,0,2
39,M,Other,25 - 45,Low,Male,0,-1,1,0,0,1
21,F,Caucasian,Less than 25,Medium,Female,0,0,6,0,0,0
69,M,Caucasian,Greater than 45,Low,Male,0,-1,1,0,0,1
21,F,Caucasian,Less than 25,Medium,Male,2,-1,6,0,0,2
26,M,African-American,25 - 45,High,Male,6,0,10,1,1,4
22,F,Caucasian,Less than 25,Low,Male,0,-2,4,0,0,0
23,F,African-American,Less than 25,Medium,Female,0,-1,5,1,1,1
49,F,African-American,Greater than 45,Medium,Male,3,0,5,0,0,4
29,M,African-American,25 - 45,Low,Male,2,-1,4,1,0,51
60,M,Caucasian,Greater than 45,Low,Female,0,-1,1,0,0,1
23,F,African-American,Less than 25,High,Male,3,0,10,1,1,0
20,F,Other,Less than 25,Low,Female,1,-21,4,0,0,3
36,F,Hispanic,25 - 45,Low,Male,1,0,3,0,0,95
30,F,Caucasian,25 - 45,Low,Male,0,0,4,0,0,2
21,F,African-American,Less than 25,Low,Male,1,-1,3,1,0,0
22,M,Caucasian,Less than 25,Medium,Male,2,-1,6,1,1,1
21,F,African-American,Less than 25,High,Male,4,-1,9,1,1,220
21,F,African-American,Less than 25,Medium,Male,0,-1,5,1,1,12
34,M,Caucasian,25 - 45,Low,Male,1,0,1,0,0,0
50,M,Caucasian,Greater than 45,Low,Female,1,-1,1,1,1,1
40,F,Caucasian,25 - 45,Medium,Male,0,-1,7,1,1,8
25,F,African-American,25 - 45,High,Male,7,-1,8,1,1,127
53,M,Caucasian,Greater than 45,Low,Female,1,-1,1,0,0,1
24,F,African-American,Less than 25,Low,Female,0,-1,4,0,0,1
42,F,African-American,25 - 45,Low,Male,1,-12,1,0,0,4
28,M,African-American,25 - 45,Low,Male,1,-1,3,0,0,2
26,F,African-American,25 - 45,High,Male,6,-1,8,1,1,1
22,F,African-American,Less than 25,High,Male,4,-1,9,1,1,260
21,M,Caucasian,Less than 25,Medium,Male,3,-8,7,0,0,6
37,F,African-American,25 - 45,High,Male,23,-1,9,1,1,17
35,F,African-American,25 - 45,Medium,Male,2,-1,5,0,0,5
53,F,African-American,Greater than 45,Low,Male,2,-1,1,0,0,1
29,F,African-American,25 - 45,Low,Male,7,-1,4,1,0,1
48,F,Caucasian,Greater than 45,High,Male,23,-1,8,1,1,361
52,M,Caucasian,Greater than 45,Low,Female,0,0,1,0,0,0
27,F,African-American,25 - 45,High,Male,12,-1,8,1,1,32
28,F,African-American,25 - 45,High,Male,5,0,9,1,0,51
33,M,Caucasian,25 - 45,Low,Male,3,0,3,0,0,0
28,F,Hispanic,25 - 45,Low,Female,0,-1,2,0,0,2
36,F,African-American,25 - 45,Medium,Male,14,-1,7,1,1,1
29,F,African-American,25 - 45,Medium,Male,2,-1,5,0,0,2
22,M,African-American,Less than 25,High,Male,0,0,9,1,1,21
25,F,Caucasian,25 - 45,Low,Male,0,0,2,0,0,0
56,F,African-American,Greater than 45,Low,Male,5,-1,3,0,0,12
27,F,African-American,25 - 45,High,Male,9,-1,8,1,1,52
52,F,Caucasian,Greater than 45,Low,Male,4,-1,1,1,1,7
32,F,African-American,25 - 45,Low,Male,3,0,2,0,0,1
60,F,Other,Greater than 45,Low,Male,4,-1,1,0,0,1
23,M,Hispanic,Less than 25,Low,Male,1,-5,3,0,0,5
39,M,Caucasian,25 - 45,Medium,Female,0,-2,6,0,0,1
56,M,Caucasian,Greater than 45,Low,Male,0,-1,1,0,0,1
22,F,African-American,Less than 25,Medium,Female,0,0,7,0,0,0
53,F,African-American,Greater than 45,Medium,Male,11,-1,6,0,0,110
25,M,Caucasian,25 - 45,Low,Male,0,0,2,1,1,0
21,M,Hispanic,Less than 25,Low,Male,0,0,3,0,0,0
22,F,Caucasian,Less than 25,Low,Male,0,-1,3,0,0,2
58,M,Caucasian,Greater than 45,Low,Female,2,-23,1,0,0,1
31,M,African-American,25 - 45,Low,Male,7,0,3,1,1,1
22,F,Caucasian,Less than 25,Medium,Male,1,-1,5,1,1,1
28,F,African-American,25 - 45,Medium,Male,8,-1,6,1,1,3
42,F,Other,25 - 45,Low,Male,1,-1,1,0,0,2
20,F,African-American,Less than 25,Medium,Male,0,0,7,1,1,1
29,M,Caucasian,25 - 45,Medium,Male,0,0,6,1,1,5
58,M,African-American,Greater than 45,Medium,Male,21,-1,7,1,1,59
22,F,African-American,Less than 25,Medium,Male,3,-1,7,0,0,106
48,M,Hispanic,Greater than 45,Low,Male,1,0,1,1,1,1
37,F,Caucasian,25 - 45,Low,Male,0,0,4,0,0,0
57,F,African-American,Greater than 45,Medium,Male,1,-1,5,1,1,26
27,M,Caucasian,25 - 45,Low,Male,3,-22,1,0,0,0
26,F,African-American,25 - 45,Low,Male,3,0,4,0,0,33
24,F,Caucasian,Less than 25,High,Male,3,0,8,1,1,0
33,F,Caucasian,25 - 45,Low,Male,0,-1,1,0,0,1
29,F,African-American,25 - 45,Medium,Male,2,-1,6,0,0,1
24,F,African-American,Less than 25,High,Female,3,-1,10,1,1,1
19,F,Caucasian,Less than 25,High,Male,1,-1,10,1,1,32
36,M,Caucasian,25 - 45,Low,Male,2,-1,1,0,0,1
24,F,Caucasian,Less than 25,Medium,Female,0,0,5,0,0,0
34,M,Caucasian,25 - 45,Low,Male,0,0,1,0,0,0
25,F,Hispanic,25 - 45,Medium,Male,2,-1,5,1,1,1
20,F,African-American,Less than 25,High,Male,1,-1,10,1,1,1
24,M,African-American,Less than 25,Low,Male,1,-1,2,1,1,2
61,F,Caucasian,Greater than 45,Low,Male,4,-1,1,0,0,2
50,F,African-American,Greater than 45,Low,Female,3,0,2,0,0,0
30,M,African-American,25 - 45,Low,Male,1,0,1,0,0,4
38,F,African-American,25 - 45,Low,Male,5,-1,3,0,0,1
24,M,Caucasian,Less than 25,Low,Male,0,-1,1,0,0,1
46,F,African-American,Greater than 45,High,Female,2,-1,10,1,1,10
41,M,Caucasian,25 - 45,Low,Male,0,-1,1,1,1,4
20,F,Other,Less than 25,High,Male,0,-1,8,1,1,22
27,M,African-American,25 - 45,High,Male,13,-1,8,1,1,1
26,M,African-American,25 - 45,Medium,Male,1,-1,6,1,1,13
29,F,African-American,25 - 45,Medium,Male,3,0,5,1,1,1
52,F,Caucasian,Greater than 45,Medium,Male,6,-1,5,1,1,2
28,F,Caucasian,25 - 45,Low,Male,1,0,4,1,1,4
55,F,African-American,Greater than 45,Low,Male,5,-1,3,1,1,119
26,F,African-American,25 - 45,High,Male,10,-1,9,1,1,1
28,F,African-American,25 - 45,High,Male,5,-1,10,0,0,1
63,F,Caucasian,Greater than 45,Low,Male,2,-3,1,0,0,3
42,F,African-American,25 - 45,Low,Male,0,0,1,0,0,1
23,F,African-American,Less than 25,Medium,Male,6,-1,6,1,0,1
54,F,African-American,Greater than 45,High,Male,28,-1,9,1,1,6
35,F,African-American,25 - 45,Medium,Male,8,-1,7,1,1,10
24,F,African-American,Less than 25,High,Female,6,-1,9,1,1,26
54,M,African-American,Greater than 45,Low,Male,2,-26,1,0,0,1
58,M,African-American,Greater than 45,Medium,Male,12,-1,6,1,1,4
23,M,Caucasian,Less than 25,Medium,Male,1,0,5,1,1,0
35,M,African-American,25 - 45,Low,Male,1,-1,2,0,0,1
20,F,African-American,Less than 25,High,Male,1,0,10,1,1,2
51,F,Caucasian,Greater than 45,Low,Male,0,0,1,0,0,35
24,F,Hispanic,Less than 25,High,Male,0,0,10,0,0,1
37,F,Caucasian,25 - 45,Low,Male,3,-14,2,0,0,7
47,F,Caucasian,Greater than 45,Low,Male,3,-1,1,0,0,1
34,F,Caucasian,25 - 45,Medium,Male,4,-1,6,1,1,1
56,F,Caucasian,Greater than 45,Low,Male,0,-2,1,0,0,1
34,F,Hispanic,25 - 45,Low,Male,4,-1,1,1,1,32
59,F,Caucasian,Greater than 45,Low,Male,1,-2,1,1,1,0
35,F,Asian,25 - 45,Medium,Male,0,-1,6,0,0,101
58,F,Hispanic,Greater than 45,Low,Male,1,-11,1,0,0,10
29,M,Hispanic,25 - 45,Low,Male,2,-26,4,0,0,1
